time	pd1	pd2	pd3	pd3/pd1	pd2/pd1	bx	by	pdx	pdy	pda	bm	bar-note	meas#	pt#
2026-07-28 10:38:45	0.000738	2.082586E-7	0.000831	1.124978	0.000282	88	12	234	125.216504	239.000008	17.148003	1	0	0	0
2026-07-28 10:38:50	0.000739	2.23279E-7	0.000819	1.108366	0.000302	88	12	233.75	124.783496	239.000008	17.148003	1	0	1	0
2026-07-28 10:38:57	0.000738	2.519488E-7	0.000812	1.100218	0.000341	88	12	234.25	124.783496	239.000008	17.148003	1	0	2	0
2026-07-28 10:39:03	0.000737	2.736449E-7	0.000834	1.130948	0.000371	88	12	233.5	125.216504	239.000008	17.148003	1	0	3	0
2026-07-28 10:39:09	0.000736	3.159046E-7	0.000839	1.140131	0.000429	88	12	233.125	125.433008	239.000008	17.148003	1	0	4	0
2026-07-28 10:39:16	0.000736	3.16143E-7	0.000843	1.145576	0.000429	88	12	233.375	125.866025	239.000008	17.148003	1	0	5	0
2026-07-28 10:39:22	0.000735	2.861023E-7	0.000842	1.144576	0.000389	88	12	233.1875	126.407295	239.000008	17.148003	1	0	6	0
2026-07-28 10:39:28	0.000734	2.651811E-7	0.000843	1.148134	0.000361	88	12	232.5	126.082529	239.000008	17.148003	1	0	7	0
2026-07-28 10:39:35	0.000733	2.800822E-7	0.000834	1.13732	0.000382	88	12	231.75	126.515547	239.000008	17.148003	1	0	8	0
2026-07-28 10:39:41	0.000733	2.915859E-7	0.000839	1.144705	0.000398	88	12	232.75	126.515547	239.000008	17.148003	1	0	9	0
2026-07-28 10:39:47	0.000732	2.740622E-7	0.000841	1.148841	0.000374	88	12	232.84375	126.244912	239.000008	17.148003	1	0	10	0
2026-07-28 10:39:53	0.000731	2.856255E-7	0.000834	1.141894	0.000391	88	12	231.96875	126.461416	239.000008	17.148003	1	0	11	0
2026-07-28 10:40:00	0.000729	2.712011E-7	0.000838	1.150391	0.000372	88	12	233.023437	126.014873	239.000008	17.148003	1	0	12	0
2026-07-28 10:40:06	0.000726	2.883077E-7	0.000397	0.54671	0.000397	88	12	233.367187	126.177256	239.000008	17.148003	1	0	13	0
2026-07-28 10:40:12	0.000724	2.462864E-7	2.516508E-7	0.000348	0.00034	88	12	232.716797	126.106211	239.000008	17.148003	1	0	14	0
2026-07-28 10:40:19	0.000721	2.576709E-7	2.939701E-7	0.000408	0.000357	88	12	232.933594	126.129893	239.000008	17.148003	1	0	15	0
2026-07-28 10:40:25	0.000719	2.508759E-7	0.000481	0.669543	0.000349	88	12	232.761719	126.048701	239.000008	17.148003	1	0	16	0
2026-07-28 10:40:31	0.000716	3.023744E-7	0.000827	1.154697	0.000422	88	12	233.195312	126.096064	239.000008	17.148003	1	0	17	0
2026-07-28 10:40:37	0.000713	5.918145E-7	0.000824	1.154926	0.00083	88	12	233.412109	126.119746	239.000008	17.148003	1	0	18	0
2026-07-28 10:40:43	0.000711	1.694083E-6	0.000821	1.154667	0.002383	88	12	233.501953	126.004727	239.000008	17.148003	1	0	19	0
2026-07-28 10:40:49	0.000709	1.702428E-6	0.000816	1.15014	0.0024	88	12	233.890625	126.10959	239.000008	17.148003	1	0	20	0
2026-07-28 10:40:55	0.000707	1.675963E-6	0.000818	1.157608	0.002372	88	12	233.240234	126.038555	239.000008	17.148003	1	0	21	0
2026-07-28 10:41:01	0.000705	1.65242E-6	0.000817	1.158496	0.002344	88	12	233.150391	126.153574	239.000008	17.148003	1	0	22	0
2026-07-28 10:41:07	0.000704	1.624763E-6	0.000816	1.158554	0.002308	88	12	232.974609	126.227998	239.000008	17.148003	1	0	23	0
2026-07-28 10:41:13	0.000702	1.631379E-6	0.000815	1.160317	0.002324	88	12	232.802734	126.146807	239.000008	17.148003	1	0	24	0
2026-07-28 10:41:20	0.000701	1.659095E-6	0.000814	1.160347	0.002366	88	12	232.498047	126.160342	239.000008	17.148003	1	0	25	0
2026-07-28 10:41:26	0.000702	1.645982E-6	0.000811	1.155016	0.002345	88	12	232.232422	126.349785	239.000008	17.148003	1	0	26	0
2026-07-28 10:41:32	0.000701	1.654685E-6	0.000813	1.159953	0.002361	88	12	232.988281	126.116357	239.000008	17.148003	1	0	27	0
2026-07-28 10:41:38	0.000701	1.636207E-6	0.000813	1.159814	0.002335	88	12	232.511719	126.048701	239.000008	17.148003	1	0	28	0
2026-07-28 10:41:45	0.0007	1.643479E-6	0.000813	1.160893	0.002348	88	12	232.627441	126.093525	239.000008	17.148003	1	0	29	0
